dataset,model,variant,kind,imgsz,map50,map50_95,ap_small,ap_medium,ap_large,ar_max,ar_small,ar_medium,ar_large,precision,recall,f1,max_dets,tiles_per_image,mean_dets_per_image_merged,duplicate_box_rate,n_detections
dota,yolo26m_dota,native1536,native,1536,0.5331118025662149,0.3715831369673244,0.17363884133215313,0.38011463472569235,0.5083469692858186,0.4138502193765542,0.1996354600853994,0.42184122628537846,0.5611308220387724,0.7582867275951439,0.5593761230503845,0.6438179381545639,10000,1.0,112.04585152838428,0.0,51317
dota,yolo26m_dota,native640,native,640,0.3282212051996217,0.22860775528996374,0.07879752999980179,0.20447478428246205,0.40834400025665124,0.2494211828288045,0.0863078561781088,0.22601633329682452,0.4496479054116126,0.7377577949369563,0.3255085172141163,0.4517145763929063,10000,1.0,67.01528384279476,0.0,30693
dota,yolo26m_dota,tile1024_ov10,sliced,,0.6564660363302415,0.44959543205046154,0.3107482659500431,0.4914994891729021,0.5042038026266531,0.5391713251071973,0.39055976649186863,0.5707973081991845,0.5847928117782628,0.6755470870142618,0.8409257528929778,0.7492187499999999,10000,10.674672489082969,189.07205240174673,0.37133834258956766,86595
dota,yolo26m_dota,tile1024_ov20,sliced,,0.6515405164126711,0.44715577307529375,0.31200547572454873,0.4892802840718098,0.503650497905581,0.5401838816807624,0.38536934165131426,0.5704085102696351,0.5912753650962272,0.6692631339549693,0.8460432688852153,0.7473413542427225,10000,11.62227074235808,192.00873362445415,0.43004173904026133,87940
dota,yolo26m_dota,tile512_ov10,sliced,,0.605148016941008,0.38017774016110534,0.28836066735391397,0.4615364667683159,0.37840093506076533,0.5006612849245367,0.3925041965187849,0.5599767624581484,0.49129223276056877,0.6271069161990637,0.8337957306116581,0.7158301348899776,10000,36.995633187772924,201.94978165938863,0.2776975158723341,92493
dota,yolo26m_dota,tile512_ov20,sliced,,0.5971110225585285,0.3869553751020889,0.28774774060474373,0.46267647547130925,0.39289340941367923,0.5133416952011705,0.38521019542790924,0.5640291124304471,0.5199351137839271,0.615551502955603,0.8442607633148853,0.7119901562035921,10000,44.71615720524017,208.3231441048035,0.38235065641264665,95412
dota,yolo26m_dota,tile640_ov10,sliced,,0.6183834928576408,0.40375714853812483,0.3092146716887741,0.4777967801545589,0.4211107415888722,0.5177509951508164,0.4009300005434099,0.5714797554736484,0.5290798400142225,0.6496184826445912,0.8358801121253504,0.7310719404561342,10000,23.768558951965066,195.43886462882097,0.3071582271622521,89511
dota,yolo26m_dota,tile640_ov20,sliced,,0.6219242964921976,0.4117773590361452,0.30876027055852096,0.47890696715660575,0.43125874921978397,0.5268885948382683,0.4014456995105056,0.5735545718054176,0.5511061635307638,0.6424040543957433,0.8400057500179688,0.7280349845509817,10000,29.096069868995635,198.60917030567686,0.4124748101069602,90963
dota,yolov8m_dota,native1024,native,1024,0.440437255880355,0.30485496729653294,0.11854344365197961,0.2891807289889898,0.48351712479039777,0.33645534594145926,0.13347245845438804,0.3205314868371548,0.534303230585121,0.7810606865766819,0.42256882052756417,0.5484277198906727,10000,1.0,82.17467248908297,0.0,37636
dota,yolov8m_dota,native1536,native,1536,0.5343554346266614,0.3691042154635809,0.1573950015405691,0.3719158765819434,0.523408902821806,0.414514487338316,0.18038414940161446,0.4171046980022357,0.5796969651835375,0.7657477473762345,0.5338604183138073,0.6291164114378642,10000,1.0,105.89301310043668,0.0,48499
dota,yolov8m_dota,native640,native,640,0.3201418087960122,0.22059422499630446,0.06528123098573531,0.19451026592154735,0.3859579472897816,0.2426998827307177,0.07272278508725087,0.2153810274974616,0.4300162134377105,0.7225088243279935,0.30601595629986345,0.42993466560300514,10000,1.0,64.33187772925764,0.0,29464
dota,yolov8m_dota,tile1024_ov10,sliced,,0.6665486539230396,0.4511860050914376,0.3055155175360044,0.4877253597174183,0.5153354087257275,0.5462036712996033,0.40279080701300796,0.5742333452288682,0.592378792044817,0.6557758296378208,0.8269100840940128,0.7314666463213041,10000,10.674672489082969,191.52620087336246,0.35582204858561234,87719
dota,yolov8m_dota,tile1024_ov20,sliced,,0.6701915260457655,0.4546102652915266,0.30962163577380253,0.49347622404369934,0.5089792150108943,0.5509614298037736,0.4067122807767057,0.5790467821855929,0.5911768792832381,0.6501250715094954,0.8331488535901674,0.7303451491361821,10000,11.62227074235808,194.64847161572052,0.41762369510968267,89149
dota,yolov8m_dota,tile512_ov10,sliced,,0.6072494950277469,0.3739637044014402,0.2889877819988113,0.4538957953988325,0.3721991716679045,0.5070598841924154,0.40117214308312604,0.5679593095827864,0.4945329718625978,0.6130939651854069,0.82425070078344,0.7031620771480603,10000,36.995633187772924,204.2008733624454,0.26103618018188857,93524
dota,yolov8m_dota,tile512_ov20,sliced,,0.6023012006413955,0.38184973138064815,0.27607249684054197,0.4612226682815366,0.3977090883383302,0.5243045809054963,0.39745785738834344,0.5757725229572834,0.5290563754455995,0.5976809557273366,0.8313663480198376,0.6954169146691196,10000,44.71615720524017,211.27510917030568,0.3688055680580289,96764
dota,yolov8m_dota,tile640_ov10,sliced,,0.6291509016195053,0.3992200294319978,0.30277745191687216,0.46736607118988294,0.41872635832237826,0.5196777720486253,0.4056011068102466,0.5705927674820865,0.5309153043191303,0.6326861555432984,0.8244519514123482,0.715950441594108,10000,23.768558951965066,197.92576419213975,0.2930120106067696,90650
dota,yolov8m_dota,tile640_ov20,sliced,,0.6236851706621782,0.40490938361951767,0.3068702625987602,0.4650401417077963,0.4393885356922225,0.5270869757644338,0.408781607121332,0.5664008299132233,0.5554684054993965,0.6235315791755169,0.827096959677999,0.7110311972862254,10000,29.096069868995635,201.4759825327511,0.398923904688701,92276
