model,variant,class_id,class_name,ap50_95,ap50
yolo11m_dota,tile1024_ov10,13,soccer ball field,0.37224339369225,0.5154162008009223
yolo11m_dota,tile1024_ov10,14,swimming pool,0.2833116049569563,0.5967543761595954
yolo11m_dota,tile1024_ov10,15,container crane,0.015841584158415842,0.039603960396039604
yolo11m_dota,tile1024_ov20,0,plane,0.7007127044726646,0.9145303737263071
yolo11m_dota,tile1024_ov20,1,ship,0.6853057924525899,0.9118827612486453
yolo11m_dota,tile1024_ov20,2,storage tank,0.5056213085786039,0.7330158361029632
yolo11m_dota,tile1024_ov20,3,baseball diamond,0.4610632313897288,0.7436336179713087
yolo11m_dota,tile1024_ov20,4,tennis court,0.8722612528692999,0.930803639563207
yolo11m_dota,tile1024_ov20,5,basketball court,0.5620354346928006,0.6458915275974598
yolo11m_dota,tile1024_ov20,6,ground track field,0.4133753408808683,0.6344235414969457
yolo11m_dota,tile1024_ov20,7,harbor,0.5162891897068776,0.815412237179171
yolo11m_dota,tile1024_ov20,8,bridge,0.26580875366444107,0.5110083027526423
yolo11m_dota,tile1024_ov20,9,large vehicle,0.6070322220521197,0.7731916890012304
yolo11m_dota,tile1024_ov20,10,small vehicle,0.3646003088500525,0.6945028920454305
yolo11m_dota,tile1024_ov20,11,helicopter,0.3073843325396439,0.6094237354250926
yolo11m_dota,tile1024_ov20,12,roundabout,0.4272430693620337,0.6594025629403303
yolo11m_dota,tile1024_ov20,13,soccer ball field,0.3535726680944522,0.5059658501954847
yolo11m_dota,tile1024_ov20,14,swimming pool,0.2879317489173427,0.5985519281624045
yolo11m_dota,tile1024_ov20,15,container crane,0.047524752475247525,0.07920792079207921
yolo11m_dota,tile512_ov10,0,plane,0.5379994195342785,0.8110525373746091
yolo11m_dota,tile512_ov10,1,ship,0.6691566610472605,0.9014358027063958
yolo11m_dota,tile512_ov10,2,storage tank,0.47789028291419106,0.7030776321133707
yolo11m_dota,tile512_ov10,3,baseball diamond,0.360276580524881,0.6637901915275171
yolo11m_dota,tile512_ov10,4,tennis court,0.7468215233709546,0.8765808814662622
yolo11m_dota,tile512_ov10,5,basketball court,0.42966043484395,0.6204153112699909
yolo11m_dota,tile512_ov10,6,ground track field,0.24693623822933655,0.45374691532598427
yolo11m_dota,tile512_ov10,7,harbor,0.40512664264777065,0.7020570074327055
yolo11m_dota,tile512_ov10,8,bridge,0.23575354492097866,0.47790264229541407
yolo11m_dota,tile512_ov10,9,large vehicle,0.5726890699269911,0.7484044030475389
yolo11m_dota,tile512_ov10,10,small vehicle,0.3506843518604306,0.679098905540155
yolo11m_dota,tile512_ov10,11,helicopter,0.2288271247714767,0.5202838949593386
yolo11m_dota,tile512_ov10,12,roundabout,0.3474573181297958,0.5765851981907435
yolo11m_dota,tile512_ov10,13,soccer ball field,0.21871854057781856,0.38195851777564954
yolo11m_dota,tile512_ov10,14,swimming pool,0.27851705025754625,0.5922276316218377
yolo11m_dota,tile512_ov10,15,container crane,0.07326732673267326,0.09900990099009901
yolo11m_dota,tile512_ov20,0,plane,0.5775112339005875,0.8246182933476907
yolo11m_dota,tile512_ov20,1,ship,0.6687685101884988,0.8980672581226993
yolo11m_dota,tile512_ov20,2,storage tank,0.48287178791807245,0.7099431782314622
yolo11m_dota,tile512_ov20,3,baseball diamond,0.3630414105490775,0.6418408004812741
yolo11m_dota,tile512_ov20,4,tennis court,0.770726929069937,0.8652813744422135
yolo11m_dota,tile512_ov20,5,basketball court,0.4572597807592391,0.5811325617349093
yolo11m_dota,tile512_ov20,6,ground track field,0.22486960525566663,0.39326672556851766
yolo11m_dota,tile512_ov20,7,harbor,0.4081720303593916,0.695949514005194
yolo11m_dota,tile512_ov20,8,bridge,0.23022734103201578,0.47652003752471833
yolo11m_dota,tile512_ov20,9,large vehicle,0.5854139065560665,0.749799664329558
yolo11m_dota,tile512_ov20,10,small vehicle,0.35272365838674385,0.6793252039556654
yolo11m_dota,tile512_ov20,11,helicopter,0.2543756814713896,0.5641281770274407
yolo11m_dota,tile512_ov20,12,roundabout,0.3808690924176274,0.605422974791905
yolo11m_dota,tile512_ov20,13,soccer ball field,0.2115897856931246,0.4025614799318616
yolo11m_dota,tile512_ov20,14,swimming pool,0.2838572692728137,0.5986969212662436
yolo11m_dota,tile512_ov20,15,container crane,0.006490649064906489,0.0297029702970297
yolo11m_dota,tile640_ov10,0,plane,0.59304484408233,0.836757454835633
yolo11m_dota,tile640_ov10,1,ship,0.6721984946152811,0.9043977303256358
yolo11m_dota,tile640_ov10,2,storage tank,0.49701723336449116,0.7260646922394605
yolo11m_dota,tile640_ov10,3,baseball diamond,0.403331031874111,0.6993760016731996
yolo11m_dota,tile640_ov10,4,tennis court,0.8073568789430788,0.8925275799575844
yolo11m_dota,tile640_ov10,5,basketball court,0.4548768760028847,0.6229673899880956
yolo11m_dota,tile640_ov10,6,ground track field,0.26194782014610607,0.4770463813193167
yolo11m_dota,tile640_ov10,7,harbor,0.4463379815337931,0.7429231112301083
yolo11m_dota,tile640_ov10,8,bridge,0.24255999635883913,0.489259062154183
yolo11m_dota,tile640_ov10,9,large vehicle,0.5878365190971814,0.7597869120817397
yolo11m_dota,tile640_ov10,10,small vehicle,0.357855027345872,0.6832833920648708
yolo11m_dota,tile640_ov10,11,helicopter,0.27449577428117905,0.5891220547201318
yolo11m_dota,tile640_ov10,12,roundabout,0.38528379957076936,0.6268765660461596
yolo11m_dota,tile640_ov10,13,soccer ball field,0.23715892730835178,0.4333018907347133
yolo11m_dota,tile640_ov10,14,swimming pool,0.2797874464921401,0.5888930628028484
yolo11m_dota,tile640_ov10,15,container crane,0.015841584158415842,0.07920792079207921
yolo11m_dota,tile640_ov20,0,plane,0.6197410323944186,0.8569793591437327
yolo11m_dota,tile640_ov20,1,ship,0.6764366196734569,0.9048460980949622
yolo11m_dota,tile640_ov20,2,storage tank,0.48453159253889383,0.7131069401665453
yolo11m_dota,tile640_ov20,3,baseball diamond,0.4144957196654413,0.6944030683485831
yolo11m_dota,tile640_ov20,4,tennis court,0.8263148103466351,0.896641508546097
yolo11m_dota,tile640_ov20,5,basketball court,0.5182008174667646,0.6513243659522903
yolo11m_dota,tile640_ov20,6,ground track field,0.28305276900517995,0.49644760335790583
yolo11m_dota,tile640_ov20,7,harbor,0.44833154426267363,0.7431046885892941
yolo11m_dota,tile640_ov20,8,bridge,0.24366151763108473,0.4836168874050168
yolo11m_dota,tile640_ov20,9,large vehicle,0.5916707668690027,0.7591737936323087
yolo11m_dota,tile640_ov20,10,small vehicle,0.3574048203488644,0.6844879183260264
yolo11m_dota,tile640_ov20,11,helicopter,0.30897864723415597,0.5956167590417748
yolo11m_dota,tile640_ov20,12,roundabout,0.4076357848596618,0.6395857252054662
yolo11m_dota,tile640_ov20,13,soccer ball field,0.20468959551554444,0.4307193437737204
yolo11m_dota,tile640_ov20,14,swimming pool,0.28021673508054723,0.5899524099345131
yolo11m_dota,tile640_ov20,15,container crane,0.015841584158415842,0.07920792079207921
yolo26m_dota,native1024,0,plane,0.4713714307275971,0.668965008268182
yolo26m_dota,native1024,1,ship,0.5059263964976132,0.7665366711973037
yolo26m_dota,native1024,2,storage tank,0.25300212583910664,0.4270292226786547
yolo26m_dota,native1024,3,baseball diamond,0.2798194652731057,0.40742428191986246
yolo26m_dota,native1024,4,tennis court,0.8323361371291524,0.8804085266435178
yolo26m_dota,native1024,5,basketball court,0.37715765072451485,0.42599213543027437
yolo26m_dota,native1024,6,ground track field,0.24726579444723013,0.3392277873416393
yolo26m_dota,native1024,7,harbor,0.38678249675238513,0.6504651190651837
yolo26m_dota,native1024,8,bridge,0.09524690491206582,0.20892748037435413
yolo26m_dota,native1024,9,large vehicle,0.5385703753350443,0.6889053574050116
yolo26m_dota,native1024,10,small vehicle,0.14800948574374012,0.27392184449189366
yolo26m_dota,native1024,11,helicopter,0.2056909029580629,0.3813398665903034
yolo26m_dota,native1024,12,roundabout,0.11630694770811328,0.16756530269952918
yolo26m_dota,native1024,13,soccer ball field,0.29583063925876124,0.33735744847147975
yolo26m_dota,native1024,14,swimming pool,0.18034230659227787,0.40254795399556076
yolo26m_dota,native1024,15,container crane,0.0,0.0
yolo26m_dota,native1536,0,plane,0.5696506367541359,0.7679568612885395
yolo26m_dota,native1536,1,ship,0.6100769071456646,0.8495295577044693
